# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
10 4.75 0 0 2.16869 7.93973 5.38234e-05 6 2.78139 1.62241 1.82514 1.0375 1.74121 2.83556 2.3828 3.40558 0.188105 0.109216 0.947694 6.92231 1.3936 7.59396
11 5.25 0 0 0.100093 8.1468 0 6 3.45351 4.00459 4.44482 4.10347 1.36894 3.77983 0.75754 3.92811 0.785559 0.651087 0.992661 8.97648 1.11815 9.90781
12 5.75 0.569759 0.471032 0.394212 9.12499 0.000427929 6.00106 2.4502 6.03169 3.35041 6.87537 0.257953 3.99324 0.0851884 3.99859 1.42889 1.83325 0.950045 11.3345 0.713406 11.6785
13 6.25 4.35241 4.72188 1.01213 12.092 0.191743 6.56326 1.83437 7.82455 1.1288 7.97861 0.0404025 4.03273 0.00285368 4.00138 1.57688 3.37444 1.03054 14.3561 0.584547 13.3924
14 6.75 1.04846 5.91616 0.559905 14.0062 2.82209 16.2142 0.153591 7.99963 0.0187065 7.99993 0.663079 4.7886 0.227483 4.26069 1.25737 4.80774 0.930507 17.5383 1.00564 16.8315
15 7.25 0.0633731 5.99941 1.03502 18.0883 2.99122 28.0144 0.000284507 8 5.49211e-05 8 1.62521 6.92571 1.61923 6.38994 0.735109 5.7744 0.836117 20.8367 1.0388 20.9294
16 7.75 0.000462467 6.0001 1.75906 26.0156 0.424888 29.9295 0 8 0 8 1.31735 8.90506 2.11288 9.5646 0.839732 7.0361 0.940069 25.0741 0.970462 25.3039
17 8.25 0.181466 6.30883 0.852199 30.3673 0.0170376 30.0165 0 8 0 8 1.22769 10.9953 1.21051 11.6256 1.26955 9.19761 1.00324 30.1984 1.04502 30.6416
18 8.75 3.74789 13.4815 1.18797 37.1911 0.295627 31.715 0.0111043 8.02126 0.000265635 8.00051 0.745339 12.4227 0.285843 12.173 1.50206 12.0743 1.1416 36.7574 1.17573 37.3967
19 9.25 2.05775 17.8822 0.931695 43.1716 2.24679 46.141 0.467806 9.02247 0.0870637 8.18684 0.631462 13.7742 0.568229 13.3891 1.40349 15.0781 1.00311 43.198 0.872062 42.9959
20 9.75 0.0495338 17.9999 1.02344 50.4705 1.73804 58.539 1.86768 13.4635 1.47328 11.69 0.904422 15.9247 1.10902 16.0262 1.12474 17.7525 0.658071 47.8922 0.639551 47.558
5000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.247795 0.0941378 7.10208e-05 2.69679e-05
6 2.75 0 0 0 0 1.63675 0.927611 0 0 0 0 0 0 0 0 0 0 1.09282 0.713487 0.270157 0.153141
7 3.25 0 0 0 0 5.83385 5.54195 0 0 0 0 0.507561 0.133818 0.0248217 0.00654422 0 0 0.965464 1.47712 1.47055 1.31628
8 3.75 0 0 0.0138421 0.0145646 0.405578 5.96881 0 0 0 0 2.61622 1.0517 1.5236 0.541098 0 0 1.74435 3.31311 1.70033 3.10593
9 4.25 0 0 3.05577 4.14338 0.0228366 5.99967 0.107321 0.0483469 0.0145785 0.00656778 1.73104 1.83152 3.32397 2.03852 0.00736221 0.00331633 1.46397 5.29163 1.56604 5.22238
10 4.75 0 0 2.22974 7.90576 0.00019754 6 2.69947 1.56704 1.76294 0.998403 1.72833 2.80388 2.38187 3.37853 0.190341 0.110401 0.94992 6.89489 1.38337 7.55721
11 5.25 0.000220405 0.000151603 0.126801 8.16709 0 6 3.48751 3.96353 4.46925 4.06947 1.39526 3.76262 0.782554 3.91627 0.775459 0.643259 0.985679 8.92683 1.12058 9.86723
12 5.75 0.634925 0.523047 0.407984 9.17558 0.000596675 6.00148 2.4566 5.9882 3.33535 6.81834 0.277622 3.99143 0.0988487 3.99773 1.43704 1.82763 0.959388 11.2989 0.717279 11.6407
13 6.25 4.21802 4.62692 0.968686 12.0044 0.214355 6.6276 1.86905 7.80795 1.18366 7.9708 0.0455012 4.03573 0.00383502 4.00147 1.56905 3.35531 1.03125 14.3111 0.583613 13.3454
