# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
19 9.25 2.02225 17.7619 0.942722 43.2317 2.0474 45.2733 0.391287 8.85495 0.0759419 8.16257 0.64346 13.7359 0.564892 13.3702 1.39623 15.0996 1.00958 43.0531 0.888771 42.8414
20 9.75 0.100017 17.9989 0.937659 49.9016 1.83391 58.3214 1.85584 13.2565 1.40883 11.5039 0.91341 15.9022 1.09237 15.9609 1.08922 17.6829 0.678487 47.8805 0.662263 47.5534
5000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24528 0.0929439 9.81059e-05 3.7172e-05
6 2.75 0 0 0 0 1.4413 0.81476 0 0 0 0 0 0 0 0 0 0 1.07799 0.702328 0.283743 0.160436
7 3.25 0 0 0 0 6.0421 5.58156 0 0 0 0 0.481991 0.126752 0.0279517 0.00735058 0 0 0.976344 1.47259 1.47531 1.32435
8 3.75 0 0 0.0102786 0.0107886 0.391247 5.99229 3.75342e-05 1.31195e-05 0 0 2.6324 1.04794 1.56745 0.55587 0 0 1.71545 3.27354 1.71363 3.12337
9 4.25 0 0 2.99325 4.04476 0.00572124 6 0.0893442 0.0401596 0.0123933 0.00556924 1.77202 1.84418 3.3525 2.06227 0.00433089 0.00194606 1.48832 5.27981 1.5562 5.22115
10 4.75 0 0 2.28457 7.8898 0 6 2.54347 1.46745 1.7118 0.96616 1.71671 2.80753 2.22574 3.31126 0.155801 0.0893739 1.0113 6.98228 1.35878 7.50861
11 5.25 0 0 0.167182 8.23345 0 6 3.85859 4.11209 4.67677 4.17158 1.36163 3.74078 0.85014 3.89394 0.765434 0.614 0.956509 8.94905 1.10881 9.78853
12 5.75 0.579778 0.476246 0.387086 9.18785 0.00101889 6.00251 2.30722 6.00877 3.0675 6.69327 0.302183 3.98919 0.126116 3.99761 1.44178 1.79923 0.921373 11.2213 0.726052 11.5791
13 6.25 4.14048 4.4944 0.897307 11.8015 0.283255 6.82772 1.76344 7.72134 1.28032 7.93663 0.0453582 4.03324 0.00574651 4.00319 1.61184 3.36456 1.01008 14.1641 0.601966 13.3329
14 6.75 1.2871 5.95113 0.69331 14.1567 2.60579 15.6822 0.243927 7.99761 0.0558578 7.9999 0.587543 4.69873 0.229827 4.26351 1.23757 4.76632 0.941796 17.3643 1.01086 16.7678
15 7.25 0.037414 5.99998 1.0594 18.3083 2.99101 27.4065 0.00183053 8 8.02942e-05 8 1.67905 6.89257 1.60925 6.36616 0.728243 5.71785 0.882836 20.8249 1.03359 20.8192
16 7.75 0.000278643 6.0004 1.50307 25.0389 0.561321 29.9204 0 8 0 8 1.38205 8.95591 2.07362 9.46198 0.821025 6.9436 0.943188 25.0493 0.973457 25.1792
17 8.25 0.189828 6.32131 1.01868 30.2076 0.0256097 30.0504 9.91464e-06 8.00002 0 8 1.11145 10.8362 1.1757 11.451 1.25097 9.05993 0.98205 30.0334 1.04396 30.4775
18 8.75 3.66778 13.2959 1.20103 37.0624 0.415191 32.4206 0.0134135 8.02554 0.000128323 8.00024 0.771235 12.3038 0.374879 12.1643 1.5883 12.0824 1.111 36.376 1.13027 36.9301
19 9.25 2.01114 17.5696 0.966094 43.2243 1.92222 44.6841 0.377958 8.8293 0.0821712 8.17498 0.671545 13.7319 0.568819 13.374 1.40965 15.0801 1.01657 42.8614 0.901323 42.6804
20 9.75 0.181315 17.9976 0.917227 49.724 1.84213 57.741 1.81199 13.1104 1.38851 11.4556 0.91447 15.8925 1.07431 15.9122 1.05313 17.5683 0.69869 47.8137 0.678168 47.4871
6000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
